Name,AvgHW,AvgQuiz,AvgLab,MT1,MT2,Final,Participation,Grade
ID1,18,15,20,52,76,48,98,D
ID2,18,17,19,84,98,91,93,A
ID3,17,17,20,68,84,83,98,B
ID4,19,18,20,86,91,85,87,B
ID5,20,18,20,81,96,90,93,A
ID6,19,16,19,65,95,80,96,B
ID7,17,16,19,74,92,68,99,B
ID8,16,14,18,86,92,89,98,B
ID9,14,16,18,85,93,73,67,C
ID10,19,18,20,83,93,82,100,A
ID11,17,17,19,72,96,68,98,B
ID12,18,17,20,68,96,81,98,B
ID13,18,17,19,91,93,86,100,A
ID14,18,16,19,70,92,74,98,B
ID15,14,16,16,77,91,78,100,B
ID16,16,12,17,51,79,69,93,C
ID17,18,16,18,77,82,66,98,C
ID18,20,19,20,73,99,95,96,A
ID19,19,18,20,76,88,79,98,B
ID20,16,13,18,79,94,79,91,B
ID21,16,15,19,74,93,68,78,C
ID22,18,17,19,81,96,80,98,B
ID23,20,19,20,90,95,93,93,A
ID24,17,14,19,69,93,66,91,C
ID25,17,16,19,82,96,68,90,B
ID26,19,19,20,92,95,92,93,A
ID27,18,17,20,87,96,93,96,A
ID28,15,14,18,75,96,70,98,C
ID29,18,14,19,79,99,91,80,B
ID30,16,13,20,72,79,85,93,B
ID31,16,16,18,78,91,76,76,B
ID32,19,17,19,89,90,91,89,A
ID33,19,15,20,79,94,64,93,B
ID34,11,15,19,80,86,81,84,C
ID35,14,14,19,72,82,76,98,C
ID36,19,17,20,88,97,90,93,A
ID37,18,15,15,69,80,75,73,C
ID38,18,16,20,79,90,80,96,B
ID39,20,16,20,83,98,90,96,A
ID40,9,11,15,46,70,52,96,D
ID41,20,17,19,82,99,85,100,A
ID42,16,16,20,78,88,76,89,B
ID43,5,15,13,84,84,80,53,C
ID44,20,18,19,82,96,86,93,A
ID45,18,15,20,67,97,67,96,C
ID46,17,14,20,53,91,79,98,B
